Artist,Song,num_requests
"Chappell Roan","Pink Pony Club",301
"Sabrina Carpenter",Espresso,266
"Chappell Roan","Good Luck, Babe!",253
"Sabrina Carpenter","Please Please Please",218
"Chappell Roan","HOT TO GO!",197
"Sabrina Carpenter",Feather,182
"Sabrina Carpenter",Nonsense,172
"Lady Gaga",Abracadabra,155
"Rick Astley","Never Gonna Give You Up",132
"Tate McRae","Sports car",119
"Fontaines D.C.","Roman Holiday",110
"The Smiths","This Charming Man",103
"Linkin Park","What I've Done",99
"Arctic Monkeys","Do I Wanna Know?",96
Paramore,"Misery Business",96
Gorillaz,"Feel Good Inc",93
"Limp Bizkit","Rollin' (Air Raid Vehicle)",92
"Arctic Monkeys","I Bet You Look Good on the Dancefloor",89
"Arctic Monkeys","When The Sun Goes Down",86
Doechii,"DENIAL IS A RIVER",84
